freq	intensity
0	3049.6020838419595
1	1576.1450956197884
2	1279.3284805422632
3	873.864045457887
4	753.6751106690199
5	605.2577532403999
6	539.9329466094935
7	471.59715786546514
8	393.179321773941
9	360.3237070994594
10	325.6848043606463
11	298.5680475526013
12	259.7457627591298
13	239.1461513886071
14	214.0552836498693
15	187.876988093889
16	172.9119603389379
17	157.42485308596224
18	151.19196988019766
19	133.5067281232226
20	127.89875722964453
21	119.01889495443815
22	112.62870995469426
23	107.46647740893223
24	101.44964302705496
25	97.84690801719674
26	90.74530716861096
27	89.15889874720621
28	85.24079789650516
29	81.63156098635001
30	78.18709341241517
31	76.29535120009729
32	76.00693029166058
33	74.4891103063393
34	74.37959168839616
35	71.97036057274512
36	73.80454270336021
37	71.98971659985808
38	71.55592954683061
39	70.76361963124955
40	71.36806949507137
41	70.76155204708832
42	69.30578561751909
43	69.0997957987983
44	68.13571191028971
45	69.24393015218268
46	68.43107589679727
47	68.15843447537948
48	67.54783883468262
49	67.58971409601466
50	67.42693089318202
51	66.66448569806838
52	67.04638411533413
53	67.07629076212999
54	67.03905835961079
55	65.36470864705069
56	65.45420535544325
57	65.90918716313716
58	65.36273225159513
59	65.84248613858824
60	65.09453289084684
61	65.23220935578576
62	64.70621005654007
63	64.28869055336688
64	64.31329950894548
65	63.45807765141907
66	63.20398927490822
67	63.047248369685825
68	62.92550385222301
69	61.76720113619535
70	62.183673853254625
71	61.731561495563206
72	61.59313168477844
73	61.496717721625735
74	61.25671196052574
75	61.37963626113592
76	60.85434259023966
77	60.265872149945295
78	59.23021951595909
79	59.70569133525983
80	59.247899436562555
81	59.082313668343566
82	58.60933553349032
83	58.486365982626744
84	58.17491206037942
85	57.50670251649675
86	56.72472205911599
87	56.29998264197821
88	56.08394084200294
89	55.75512676821258
90	55.52588405066238
91	55.33870064373134
92	54.55197927224309
93	54.33380270494256
94	53.97407350284578
95	53.73687150298201
96	53.101808886438434
97	53.16754954301723
98	52.66591529660099
99	52.00908356430929
100	51.324057766123985
101	51.474733991055906
102	50.45959092696834
103	50.348904692757856
104	50.30583137053935
105	49.670278696101484
106	49.62665089993689
107	48.86128530493997
108	47.98413156579836
109	45.96564295097722
110	44.69373755766546
111	44.282772555654844
112	44.11198126395556
113	43.576418411617794
114	42.793255783303856
115	42.583329897316986
116	41.93505454891971
117	40.82868388827975
118	39.925728499387155
119	39.35301614025858
120	38.69943906531331
121	37.61385547601986
122	37.126898836094576
123	36.32183389454668
124	35.41195466574398
125	34.88805686245977
126	34.118569816659104
127	33.29301025501884
128	32.74863339310873
129	31.717908374887283
130	30.953095372448516
131	30.39851345461741
132	29.948308186851502
133	29.554853467556764
134	28.99579191301403
135	28.35718042166902
136	27.610159552121193
137	27.194811273223195
138	26.719674652889527
139	25.77064312444731
140	25.879478136360042
141	25.642874884591222
142	25.166713592982784
143	24.744917459333763
144	24.45433409437238
145	24.497252686166167
146	23.72508027875652
147	23.142141328811753
148	22.59680671391119
149	21.962679711838774
150	20.33907089530086
151	19.112074570291277
152	16.894240477787598
153	11.20801825299196
154	7.669846471187694
155	6.912780121157441
156	12.078911846334284
